
2013-12-11 03:14:38,106 INFO     RMDIR: tk103pid_16452
2013-12-11 03:14:38,107 INFO     Time delta: 0:03:24
2013-12-11 03:14:38,108 INFO     Server loop running in process:16465
2013-12-11 03:14:47,484 DEBUG    New request
2013-12-11 03:14:47,485 INFO     handle start, pid: 16471
2013-12-11 03:14:47,485 DEBUG    [PID: 16471] created tk103pid_16471
2013-12-11 03:14:47,486 DEBUG    [PID: 16471] recv((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0031439180.9900000000L00A9C2F0))
2013-12-11 03:14:47,486 INFO     [PID: 16471] line[0]: ((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0031439180.9900000000L00A9C2F0))
2013-12-11 03:14:47,486 INFO     [088011610051] Init: imei 088011610051
2013-12-11 03:14:47,487 INFO     [088011610051] Sending the login ACK to 088011610051
2013-12-11 03:14:47,487 DEBUG    [088011610051] send: (088011610051AP05)
2013-12-11 03:14:47,488 DEBUG    [088011610051] Found startup entry.
2013-12-11 03:14:47,488 DEBUG    [088011610051] send: **,imei:088011610051,C,300s
2013-12-11 03:14:51,842 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0568N07714.1550E000.0141954281.9500000000L00A9AB3E))
2013-12-11 03:14:51,842 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0568N07714.1550E000.0141954281.9500000000L00A9AB3E))
2013-12-11 03:14:56,482 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0031450180.9900000000L00A9C2F0))
2013-12-11 03:14:56,483 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0031450180.9900000000L00A9C2F0))
2013-12-11 03:15:01,041 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0568N07714.1550E000.0142005281.9500000000L00A9AB3E))
2013-12-11 03:15:01,042 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0568N07714.1550E000.0142005281.9500000000L00A9AB3E))
2013-12-11 03:15:01,417 INFO     [088011610051] handle finish
2013-12-11 03:15:01,417 INFO     [088011610051] bytes read=335 bytes sent=47 points=0
2013-12-11 03:35:36,605 INFO     RMDIR: tk103pid_16471
2013-12-11 03:35:36,606 INFO     Time delta: 0:00:14
2013-12-11 03:35:36,607 INFO     Server loop running in process:16700
2013-12-11 03:35:57,365 DEBUG    New request
2013-12-11 03:35:57,366 INFO     handle start, pid: 16706
2013-12-11 03:35:57,367 DEBUG    [PID: 16706] created tk103pid_16706
2013-12-11 03:35:58,325 DEBUG    [PID: 16706] recv((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0033544180.9900000000L00A9C2F0))
2013-12-11 03:35:58,325 INFO     [PID: 16706] line[0]: ((088011610051BP05000088011610051131211A2834.7123N07715.3079E000.0033544180.9900000000L00A9C2F0))
2013-12-11 03:35:58,325 INFO     [088011610051] Init: imei 088011610051
2013-12-11 03:35:58,326 INFO     [088011610051] Sending the login ACK to 088011610051
2013-12-11 03:35:58,326 DEBUG    [088011610051] send: (088011610051AP05)
2013-12-11 03:35:58,327 DEBUG    [088011610051] Found startup entry.
2013-12-11 03:35:58,327 DEBUG    [088011610051] send: **,imei:088011610051,C,300s
2013-12-11 03:36:03,002 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0033554180.9900000000L00A9C2F0))
2013-12-11 03:36:03,003 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0033554180.9900000000L00A9C2F0))
2013-12-11 03:36:07,782 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0568N07714.1550E000.0142024281.9500000000L00A9AB3E))
2013-12-11 03:36:07,782 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0568N07714.1550E000.0142024281.9500000000L00A9AB3E))
2013-12-11 03:36:12,082 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0033605180.9900000000L00A9C2F0))
2013-12-11 03:36:12,082 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0033605180.9900000000L00A9C2F0))
2013-12-11 03:36:16,843 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0425N07714.1473E000.0142034282.4700000000L00A9AB3E))
2013-12-11 03:36:16,844 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0425N07714.1473E000.0142034282.4700000000L00A9AB3E))
2013-12-11 03:36:21,422 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0033615180.9900000000L00A9C2F0))
2013-12-11 03:36:21,422 INFO     [088011610051] line[0]: ((088011610051BR00131211A2834.7123N07715.3079E000.0033615180.9900000000L00A9C2F0))
2013-12-11 03:36:25,944 DEBUG    [088011610051] recv((088011610051BR00131210A2836.0568N07714.1550E000.0142014281.9500000000L00A9AB3E))
2013-12-11 03:36:25,944 INFO     [088011610051] line[0]: ((088011610051BR00131210A2836.0568N07714.1550E000.0142014281.9500000000L00A9AB3E))
2013-12-11 03:36:30,924 DEBUG    [088011610051] recv((088011610051BR00131211A2834.7123N07715.3079E000.0033625180.9900000000L00A9C2F0))
